ID,sentimiento
60000,negativo
60001,positivo
60002,negativo
60003,positivo
60004,positivo
60005,positivo
60006,negativo
60007,negativo
60008,positivo
60009,positivo
60010,negativo
60011,positivo
60012,positivo
60013,positivo
60014,negativo
60015,positivo
60016,positivo
60017,positivo
60018,positivo
60019,positivo
60020,negativo
60021,negativo
60022,positivo
60023,negativo
60024,negativo
60025,positivo
60026,positivo
60027,positivo
60028,negativo
60029,positivo
60030,positivo
60031,positivo
60032,positivo
60033,negativo
60034,negativo
60035,positivo
60036,negativo
60037,negativo
60038,positivo
60039,positivo
60040,negativo
60041,positivo
60042,positivo
60043,positivo
60044,positivo
60045,negativo
60046,positivo
60047,positivo
60048,positivo
60049,positivo
60050,negativo
60051,positivo
60052,negativo
60053,negativo
60054,negativo
60055,negativo
60056,negativo
60057,negativo
60058,positivo
60059,negativo
60060,positivo
60061,negativo
60062,positivo
60063,negativo
60064,positivo
60065,positivo
60066,negativo
60067,negativo
60068,positivo
60069,negativo
60070,positivo
60071,negativo
60072,negativo
60073,positivo
60074,positivo
60075,negativo
60076,positivo
60077,positivo
60078,positivo
60079,positivo
60080,negativo
60081,positivo
60082,positivo
60083,positivo
60084,positivo
60085,negativo
60086,positivo
60087,positivo
60088,negativo
60089,positivo
60090,positivo
60091,positivo
60092,negativo
60093,positivo
60094,negativo
60095,positivo
60096,positivo
60097,positivo
60098,positivo
60099,positivo
60100,negativo
60101,positivo
60102,negativo
60103,positivo
60104,negativo
60105,positivo
60106,positivo
60107,negativo
60108,negativo
60109,positivo
60110,positivo
60111,positivo
60112,positivo
60113,negativo
60114,negativo
60115,positivo
60116,positivo
60117,negativo
60118,negativo
60119,negativo
60120,positivo
60121,positivo
60122,positivo
60123,positivo
60124,negativo
60125,negativo
60126,positivo
60127,positivo
60128,positivo
60129,positivo
60130,negativo
60131,negativo
60132,positivo
60133,negativo
60134,positivo
60135,positivo
60136,positivo
60137,negativo
60138,negativo
60139,positivo
60140,positivo
60141,positivo
60142,negativo
60143,positivo
60144,positivo
60145,positivo
60146,negativo
60147,negativo
60148,positivo
60149,positivo
60150,positivo
60151,negativo
60152,positivo
60153,negativo
60154,negativo
60155,positivo
60156,positivo
60157,negativo
60158,negativo
60159,positivo
60160,negativo
60161,positivo
60162,negativo
60163,positivo
60164,negativo
60165,positivo
60166,negativo
60167,positivo
60168,negativo
60169,negativo
60170,negativo
60171,positivo
60172,negativo
60173,positivo
60174,positivo
60175,positivo
60176,negativo
60177,negativo
60178,negativo
60179,positivo
60180,positivo
60181,negativo
60182,negativo
60183,positivo
60184,negativo
60185,negativo
60186,positivo
60187,negativo
60188,negativo
60189,negativo
60190,positivo
60191,negativo
60192,positivo
60193,negativo
60194,negativo
60195,negativo
60196,negativo
60197,positivo
60198,negativo
60199,negativo
60200,positivo
60201,negativo
60202,positivo
60203,positivo
60204,negativo
60205,negativo
60206,positivo
60207,negativo
60208,positivo
60209,negativo
60210,positivo
60211,positivo
60212,positivo
60213,negativo
60214,negativo
60215,negativo
60216,negativo
60217,positivo
60218,positivo
60219,negativo
60220,negativo
60221,negativo
60222,negativo
60223,negativo
60224,negativo
60225,positivo
60226,negativo
60227,positivo
60228,negativo
60229,negativo
60230,negativo
60231,negativo
60232,negativo
60233,positivo
60234,positivo
60235,negativo
60236,negativo
60237,negativo
60238,positivo
60239,negativo
60240,positivo
60241,negativo
60242,negativo
60243,negativo
60244,positivo
60245,negativo
60246,negativo
60247,positivo
60248,positivo
60249,negativo
60250,positivo
60251,negativo
60252,positivo
60253,positivo
60254,negativo
60255,positivo
60256,positivo
60257,positivo
60258,positivo
60259,positivo
60260,negativo
60261,positivo
60262,positivo
60263,negativo
60264,negativo
60265,positivo
60266,positivo
60267,negativo
60268,positivo
60269,positivo
60270,positivo
60271,negativo
60272,positivo
60273,negativo
60274,positivo
60275,negativo
60276,positivo
60277,positivo
60278,positivo
60279,negativo
60280,negativo
60281,positivo
60282,negativo
60283,positivo
60284,negativo
60285,negativo
60286,positivo
60287,negativo
60288,negativo
60289,negativo
60290,positivo
60291,negativo
60292,negativo
60293,negativo
60294,positivo
60295,negativo
60296,positivo
60297,positivo
60298,positivo
60299,negativo
60300,negativo
60301,negativo
60302,positivo
60303,positivo
60304,positivo
60305,negativo
60306,negativo
60307,positivo
60308,negativo
60309,positivo
60310,positivo
60311,negativo
60312,positivo
60313,positivo
60314,positivo
60315,negativo
60316,positivo
60317,negativo
60318,negativo
60319,positivo
60320,negativo
60321,negativo
60322,negativo
60323,positivo
60324,positivo
60325,negativo
60326,positivo
60327,negativo
60328,negativo
60329,positivo
60330,positivo
60331,negativo
60332,negativo
60333,positivo
60334,negativo
60335,positivo
60336,positivo
60337,negativo
60338,negativo
60339,negativo
60340,negativo
60341,positivo
60342,negativo
60343,negativo
60344,negativo
60345,negativo
60346,positivo
60347,positivo
60348,negativo
60349,negativo
60350,negativo
60351,negativo
60352,negativo
60353,negativo
60354,positivo
60355,negativo
60356,positivo
60357,negativo
60358,positivo
60359,negativo
60360,negativo
60361,negativo
60362,negativo
60363,negativo
60364,positivo
60365,positivo
60366,negativo
60367,positivo
60368,positivo
60369,negativo
60370,negativo
60371,positivo
60372,positivo
60373,positivo
60374,negativo
60375,positivo
60376,positivo
60377,negativo
60378,negativo
60379,positivo
60380,negativo
60381,positivo
60382,negativo
60383,negativo
60384,negativo
60385,positivo
60386,negativo
60387,negativo
60388,negativo
60389,negativo
60390,negativo
60391,negativo
60392,positivo
60393,negativo
60394,negativo
60395,positivo
60396,negativo
60397,positivo
60398,negativo
60399,negativo
60400,positivo
60401,negativo
60402,negativo
60403,positivo
60404,negativo
60405,negativo
60406,negativo
60407,negativo
60408,positivo
60409,negativo
60410,negativo
60411,positivo
60412,positivo
60413,negativo
60414,positivo
60415,positivo
60416,positivo
60417,negativo
60418,positivo
60419,positivo
60420,negativo
60421,negativo
60422,negativo
60423,positivo
60424,positivo
60425,negativo
60426,negativo
60427,positivo
60428,negativo
60429,positivo
60430,negativo
60431,negativo
60432,positivo
60433,positivo
60434,positivo
60435,positivo
60436,positivo
60437,negativo
60438,negativo
60439,negativo
60440,positivo
60441,negativo
60442,negativo
60443,positivo
60444,positivo
60445,negativo
60446,negativo
60447,positivo
60448,negativo
60449,negativo
60450,negativo
60451,positivo
60452,negativo
60453,negativo
60454,positivo
60455,negativo
60456,positivo
60457,negativo
